name,key,personal_tier,platform_tier,posture,value,access,platform,personal,safety_net,override,override_personal,tags
Index Exchange,indexexchange,A,B,balanced,65.33,100.0,64.8,80.83,False,,,"saas,toronto,data,adtech"
Snyk,snyk,A,C,balanced,74.33,80.0,49.07,77.11,False,,,"saas,canada,security"
Klipfolio,klipfolio,C,D,balanced,55.17,66.67,35.07,60.64,False,,,"saas,canada,data"
Rewind,rewind,D,D,balanced,55.17,46.67,33.73,50.74,False,,,"saas,canada"
Symend,symend,C,D,balanced,63.5,60.0,33.73,61.73,False,,,"saas,canada,ai,fintech"
Introhive,introhive,C,C,balanced,63.5,66.67,39.07,65.06,False,,,"saas,canada,ai"
Tealbook,tealbook,C,D,worth_forcing,70.17,46.67,33.73,57.22,False,,,"saas,toronto,data,ai"
Rose Rocket,roserocket,C,D,worth_forcing,70.17,46.67,33.73,57.22,False,,,"saas,toronto,tob"
Nulogy,nulogy,C,C,balanced,63.5,66.67,39.07,65.06,False,,,"saas,toronto,tob"
Assent,assent,B,C,balanced,63.5,86.67,44.4,74.18,False,,,"saas,canada,data"
Certn,certn,C,C,balanced,63.5,66.67,39.07,65.06,False,,,"saas,canada,data"
Enghouse Systems,enghouse,C,C,floor_only,46.17,80.0,49.47,60.77,False,,,"saas,toronto"
TouchBistro,touchbistro,B,C,balanced,69.5,66.67,53.47,68.07,False,,,"saas,toronto,tob"
Rangle.io,rangle,C,D,balanced,55.17,60.0,33.73,57.53,False,,,"saas,toronto,consulting"
Later,later,B,C,balanced,69.5,66.67,53.47,68.07,False,,,"saas,canada"
Ubisoft,ubisoft,A,A,balanced,66.0,100.0,86.4,81.24,False,,,"gaming,canada,data"
Electronic Arts,ea,A,A,balanced,62.5,100.0,78.0,79.06,False,,,"gaming,canada,data"
Behaviour Interactive,behaviour,B,B,floor_only,56.0,86.67,62.4,69.67,False,,,"gaming,canada"
Gameloft,gameloft,C,C,floor_only,51.5,66.67,46.27,58.59,False,,,"gaming,canada"
